Subject,mean,std
Arithmancy,49634.57024265645,2172216.6338013667
Astronomy,39.797130890164766,2156.0604988833047
Herbology,1.1410195296768058,5.218016226138673
Defense Against the Dark Arts,-0.38786349744178583,5.211132259349997
Divination,3.1539096732863516,4.153969710726384
Muggle Studies,-224.5899148634645,1889.180663298823
Ancient Runes,495.747970059158,127.22815948399789
History of Magic,2.9630946151165927,4.424353177154478
Transfiguration,1030.0969463871313,44.37692030132704
Potions,5.9503729927800775,3.1468515893549087
Care of Magical Creatures,-0.0534271367004963,0.9711455533987499
Charms,-243.3744090125,8.78089455953539
Flying,21.958012499999985,112.87396118326234
