House,Bias,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
Ravenclaw,-1.3786028937569645,0.0011233919905007943,0.0,0.5998239472944831,1.0078215783399482,0.0,0.0,1.1415816809338775,0.0,0.0,0.050232657487489236,0.0,1.4211245455235615,
Gryffindor,-1.7626790986553267,-0.004590206884605932,0.0,-1.0421398659238523,-0.7000664837171202,0.0,0.0,1.3541381775697874,0.0,0.0,-0.8041389592851745,0.0,-0.6344851142961027,
Slytherin,-1.8812978073004405,0.0021747917258863538,0.0,-0.8677825868887415,1.1406186966945375,0.0,0.0,-0.9716763876937096,0.0,0.0,0.8448686859740626,0.0,-0.6972450716856119,
Hufflepuff,-1.018226181138029,0.0025312790851878516,0.0,1.3956858121323157,-1.4441957407836536,0.0,0.0,-1.6051495422476512,0.0,0.0,-0.06862590682856201,0.0,-0.07584313035764347,



House,Bias,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
Ravenclaw,-2.3314479344531516,0.00511043643544543,0.0,0.6541996736435404,1.3704142108682336,0.0,0.0,1.596451325130451,0.0,0.0,-0.14582020536089474,0.0,1.825721545938513,
Gryffindor,-2.7315404461471173,-0.01583400397431646,0.0,-1.5439098033218828,-1.2126778076687186,0.0,0.0,2.374191030272927,0.0,0.0,-1.0749219696784198,0.0,-0.7820971522680392,
Slytherin,-3.0130900746254876,0.007151947602261004,0.0,-1.1683259098924945,1.9982545826437683,0.0,0.0,-1.7690525803315542,0.0,0.0,1.1015005314490802,0.0,-1.1804525097729903,
Hufflepuff,-1.70719345093963,0.010575517470231256,0.0,2.0437465443430662,-2.1840646101535337,0.0,0.0,-2.55081360829705,0.0,0.0,0.11509387646806378,0.0,-0.16635707298037905,
